iter	MultiClass
0	1.271559264
1	1.177615114
2	1.098248582
3	1.028069778
4	0.9652177114
5	0.9108278305
6	0.8617944142
7	0.820641121
8	0.7793631417
9	0.7440661718
10	0.7088207427
11	0.6776436942
12	0.648811849
13	0.622515966
14	0.5971823556
15	0.5736142113
16	0.5520092192
17	0.5323917449
18	0.5140174987
19	0.4985495915
20	0.4819648864
21	0.4657537067
22	0.4505789136
23	0.4367050898
24	0.4245278979
25	0.4133793907
26	0.4017678881
27	0.3909661914
28	0.3809970674
29	0.3717544798
30	0.3628590417
31	0.3538036044
32	0.3463531736
33	0.3380318293
34	0.3305555798
35	0.3235189286
36	0.3173141237
37	0.3113571409
38	0.305187843
39	0.2995256454
40	0.294280473
41	0.2886693803
42	0.2835751246
43	0.2787123181
44	0.2738009256
45	0.2694921827
46	0.2652612595
47	0.2619867476
48	0.2574722774
49	0.2547772604
50	0.2515012711
51	0.2479551285
52	0.2446321033
53	0.2414035131
54	0.238718378
55	0.2352222745
56	0.2320115347
57	0.2289966644
58	0.2260637071
59	0.2243450831
60	0.2214398096
61	0.2189586579
62	0.2167648558
63	0.2139844622
64	0.211260841
65	0.2085719275
66	0.2063978407
67	0.2042566935
68	0.2031818208
69	0.2008479769
70	0.1990795438
71	0.1969946967
72	0.1951980349
73	0.1934708368
74	0.1919203743
75	0.1903409201
76	0.1892623901
77	0.1877918425
78	0.1864111037
79	0.1844186571
80	0.1827172173
81	0.1812341478
82	0.1795799013
83	0.1781901284
84	0.1765019492
85	0.1751063513
86	0.1748202127
87	0.1736132667
88	0.1722489372
89	0.1707762219
90	0.1693908934
91	0.1681603326
92	0.166689458
93	0.1650249905
94	0.1639577593
95	0.1632226369
96	0.1624002003
97	0.1612681676
98	0.1601140946
99	0.1587537372
100	0.157748074
101	0.1566282726
102	0.1552567618
103	0.1541301667
104	0.1530485365
105	0.152052731
106	0.1513872903
107	0.1503786481
108	0.1491692558
109	0.1485878354
110	0.1478436909
111	0.1472487071
112	0.1467943464
113	0.1457776993
114	0.1451886011
115	0.1445149376
116	0.1438595242
117	0.1427146185
118	0.1418248979
119	0.1412137592
120	0.1403593639
121	0.1397642105
122	0.1390163119
123	0.1385503133
124	0.1376391456
125	0.1369591001
126	0.1360228039
127	0.1355367388
128	0.1349549309
129	0.1341157096
130	0.1335347372
131	0.1328165206
132	0.131682405
133	0.1310124715
134	0.1301898775
135	0.1295992654
136	0.1288427928
137	0.127824862
138	0.1270625765
139	0.1260312277
140	0.1254343911
141	0.1245852153
142	0.1240027049
143	0.1230577257
144	0.1224418882
145	0.1215962849
146	0.1208445352
147	0.1203160604
148	0.1196806166
149	0.1190582275
150	0.1181694878
151	0.1177451845
152	0.1170061626
153	0.1163758899
154	0.1157824198
155	0.1152153863
156	0.114856611
157	0.1142861624
158	0.113780939
159	0.1132486495
160	0.1127582126
161	0.1121056451
162	0.1113593692
163	0.1107557388
164	0.1102241032
165	0.1096442207
166	0.1090994578
167	0.1086998712
168	0.1081274123
169	0.1076928517
170	0.1070563907
171	0.106468237
172	0.1059451875
173	0.1055519104
174	0.1051037259
175	0.1046926226
176	0.1041759188
177	0.103659542
178	0.1031195262
179	0.102729313
180	0.10215597
181	0.1015097119
182	0.1010168469
183	0.1007803902
184	0.1001759605
185	0.09957236638
186	0.09907329499
187	0.09878394717
188	0.09822640797
189	0.09768120902
190	0.09728609115
191	0.09696521456
192	0.09661369929
193	0.09623132736
194	0.09599009317
195	0.09559979514
196	0.09517740522
197	0.09484822107
198	0.09465536693
199	0.09413858444
200	0.09364757235
201	0.09334407988
202	0.09309764438
203	0.09259120396
204	0.09218053666
205	0.09168687851
206	0.09129241459
207	0.09086748153
208	0.09042211866
209	0.0901788984
210	0.08957037547
211	0.08916417076
212	0.08864727929
213	0.08824529496
214	0.08784552075
215	0.08748511057
216	0.08711055574
217	0.08667827788
218	0.08640850007
219	0.0861240387
220	0.08579513308
221	0.08549248832
222	0.08512119112
223	0.08473157126
224	0.0844595349
225	0.08402632456
226	0.08370033143
227	0.0834400722
228	0.08302276248
229	0.0826346019
230	0.08216179742
231	0.08176724873
232	0.08126880706
233	0.08100344946
234	0.08073801313
235	0.08035654946
236	0.08004236373
237	0.07971141755
238	0.07936173696
239	0.07895156618
240	0.07875136118
241	0.07839824737
242	0.07791855827
243	0.07763610113
244	0.07741476997
245	0.07712959411
246	0.07678765796
247	0.07652088347
248	0.07605275956
249	0.07581791953
250	0.0754337553
251	0.07523831564
252	0.07491670033
253	0.074631803
254	0.07426788088
255	0.07396727668
256	0.07373406546
257	0.07347505358
258	0.07319765848
259	0.07291776869
260	0.07266998291
261	0.07241858831
262	0.07207056681
263	0.07178941757
264	0.0714937422
265	0.07110005939
266	0.07097223675
267	0.07080637008
268	0.07050975012
269	0.07013912504
270	0.06976484268
271	0.06940284608
272	0.06915566581
273	0.06893282088
274	0.06868327307
275	0.06845872062
276	0.06824081663
277	0.06812264579
278	0.06782970126
279	0.06762081328
280	0.06736452012
281	0.06714600457
282	0.06677615453
283	0.06649460565
284	0.06627260238
285	0.06587277367
286	0.06569494823
287	0.06544269986
288	0.06522069053
289	0.06498484536
290	0.06479851253
291	0.06455534072
292	0.06429691617
293	0.06409958128
294	0.06390607319
295	0.06368301028
296	0.06335920304
297	0.06312866816
298	0.06283152141
299	0.0626243228
300	0.06244026668
301	0.06217536926
302	0.06190921238
303	0.06161624363
304	0.06143124293
305	0.06124223376
306	0.06093954056
307	0.06076706175
308	0.06044548882
309	0.06022009471
310	0.06000035604
311	0.05982720511
312	0.05959663997
313	0.05930361672
314	0.05910168602
315	0.05892875914
316	0.05868862697
317	0.05849298144
318	0.05818710327
319	0.05795802767
320	0.05774307251
321	0.05757231334
322	0.05739460294
323	0.05715359885
324	0.05697072347
325	0.05679744539
326	0.05659430973
327	0.05641948155
328	0.05624683925
329	0.05601377941
330	0.05584371052
331	0.0556866116
332	0.05544468713
333	0.0552708096
334	0.05508535476
335	0.05487952459
336	0.05471994309
337	0.05463375515
338	0.05449067373
339	0.05431706868
340	0.05406393626
341	0.05383742802
342	0.05364288451
343	0.05343425085
344	0.05330037919
345	0.05304730128
346	0.05281942458
347	0.05265287975
348	0.05245452154
349	0.0522001539
350	0.05211638799
351	0.05188609532
352	0.05173199972
353	0.05156486148
354	0.05143029349
355	0.05119187491
356	0.05107547215
357	0.05093513368
358	0.05078753214
359	0.0506665911
360	0.05049573807
361	0.0503704949
362	0.05022724394
363	0.05007309989
364	0.0498577784
365	0.04965294126
366	0.04950433761
367	0.04936335125
368	0.04922399975
369	0.04907939245
370	0.04888922676
371	0.04874291496
372	0.04866161346
373	0.04847403632
374	0.04838150569
375	0.04826554798
376	0.0481541013
377	0.04804086534
378	0.04784932212
379	0.04767285907
380	0.04745803106
381	0.04734947568
382	0.0472262549
383	0.0470769307
384	0.04697010101
385	0.04689340137
386	0.04681695
387	0.04661727179
388	0.04654905228
389	0.04643791441
390	0.04635005527
391	0.04615075248
392	0.04600326599
393	0.04587805612
394	0.04575023046
395	0.04559083363
396	0.04544302925
397	0.04533006577
398	0.04517091115
399	0.0449706123
400	0.04487897479
401	0.04476668343
402	0.04459691729
403	0.04450229463
404	0.04436721196
405	0.04426872011
406	0.04414399162
407	0.04402744657
408	0.04392053211
409	0.04379840427
410	0.04369475652
411	0.04358828711
412	0.04344711304
413	0.04335737683
414	0.04326788282
415	0.04312507993
416	0.04301904043
417	0.04292353373
418	0.04277429732
419	0.04266846975
420	0.04262089805
421	0.04251199147
422	0.04239995442
423	0.04228498974
424	0.04214444236
425	0.04193309602
426	0.04187706841
427	0.04169187394
428	0.04152324919
429	0.04136491806
430	0.04121179732
431	0.04104109265
432	0.0409273965
433	0.04082365793
434	0.04065458812
435	0.04053799765
436	0.04040016295
437	0.04031228565
438	0.04018894074
439	0.04010397593
440	0.04001222944
441	0.0398162751
442	0.03968651181
443	0.03960825602
444	0.03947380308
445	0.03933901408
446	0.03923871479
447	0.03913613879
448	0.03902617863
449	0.03894993313
450	0.03886289142
451	0.03876512921
452	0.03869239565
453	0.03859291379
454	0.03845386202
455	0.03838275728
456	0.03828324212
457	0.03820706928
458	0.03809977335
459	0.03797126649
460	0.03786440047
461	0.03775487627
462	0.03763071393
463	0.03752683004
464	0.03742922223
465	0.03735464187
466	0.03727154505
467	0.03718351939
468	0.03706789471
469	0.03697988419
470	0.03688223097
471	0.03683732048
472	0.03674097213
473	0.03667948284
474	0.03660653735
475	0.03651088836
476	0.03643456716
477	0.03634825812
478	0.03621720511
479	0.03612706018
480	0.03603577992
481	0.03592485095
482	0.03584999811
483	0.03571753123
484	0.0356078163
485	0.03544273074
486	0.03536097209
487	0.03529482645
488	0.03523793902
489	0.03512225681
490	0.03506672572
491	0.03499902392
492	0.03488671742
493	0.03480651492
494	0.0347485618
495	0.03465878926
496	0.03462706066
497	0.03452537476
498	0.03443141816
499	0.03431791275
500	0.03426626296
501	0.03418903654
502	0.0340773204
503	0.03401063586
504	0.03395204998
505	0.03384677645
506	0.03374915956
507	0.03367081597
508	0.03359852745
509	0.03349536109
510	0.03341337537
511	0.03334369659
512	0.03323706975
513	0.03317783598
514	0.03311941359
515	0.03305618649
516	0.03291017139
517	0.03282187326
518	0.03276533097
519	0.03264514984
520	0.03252837166
521	0.03244405474
522	0.0323905854
523	0.03231958056
524	0.03226000468
525	0.03220237853
526	0.0321041198
527	0.03202681466
528	0.03198211912
529	0.03192729042
530	0.03189971561
531	0.03181892577
532	0.03172105456
533	0.03162262629
534	0.03156500317
535	0.03151936001
536	0.03145916046
537	0.03138347202
538	0.03130106245
539	0.03121190147
540	0.03116102673
541	0.03109299796
542	0.03105194455
543	0.0309782119
544	0.03092711615
545	0.03085505773
546	0.0307789636
547	0.03069393219
548	0.03063561273
549	0.03058647882
550	0.0305159917
551	0.03044476888
552	0.0304078965
553	0.03033483596
554	0.03027134547
555	0.03013743143
556	0.03007949647
557	0.03004213969
558	0.0299432482
559	0.02983585237
560	0.02977207426
561	0.02969496591
562	0.029625932
563	0.02957423074
564	0.0295147366
565	0.0294163053
566	0.02930595458
567	0.02926674192
568	0.02919378129
569	0.02915384807
570	0.02909324283
571	0.02904141441
572	0.02899001894
573	0.02894020081
574	0.02892233531
575	0.02881343175
576	0.02874542721
577	0.02867020501
578	0.02861303299
579	0.02853536454
580	0.02846268245
581	0.02840391795
582	0.02831030043
583	0.02824654958
584	0.02818480598
585	0.02811251444
586	0.02804985046
587	0.02795262412
588	0.0279072595
589	0.02784794096
590	0.02779805017
591	0.02773453243
592	0.02767100864
593	0.02757490249
594	0.0275352145
595	0.02748646812
596	0.02739984119
597	0.02735220591
598	0.02730422853
599	0.02726319934
600	0.02718829806
601	0.02712786538
602	0.02709378439
603	0.02702872261
604	0.02697056664
605	0.02691315848
606	0.02688687037
607	0.02684427897
608	0.02678742182
609	0.02676239014
610	0.02671934764
611	0.02665850019
612	0.02660165212
613	0.02654061393
614	0.02648233081
615	0.02641625783
616	0.02636633676
617	0.02631383321
618	0.02627059694
619	0.02621306162
620	0.0261305037
621	0.02605216617
622	0.02601751903
623	0.02599414341
624	0.02596601456
625	0.02591984158
626	0.02588704124
627	0.02584900932
628	0.02581575182
629	0.02574436854
630	0.02570324247
631	0.02562734513
632	0.02558714246
633	0.02553524441
634	0.02547781203
635	0.02543497237
636	0.02536874045
637	0.02533291105
638	0.02530267958
639	0.02525027139
640	0.02518252267
641	0.02512326619
642	0.02507734904
643	0.02498460346
644	0.02492054379
645	0.02488770561
646	0.02483178396
647	0.02478390043
648	0.02473978921
649	0.02468734923
650	0.02464902666
651	0.02460640196
652	0.02456824439
653	0.02451642203
654	0.02447412582
655	0.02439295148
656	0.02435154839
657	0.02430467303
658	0.0242654316
659	0.02423808688
660	0.02418723333
661	0.02413994623
662	0.02411460876
663	0.02406182668
664	0.02402112598
665	0.02398014069
666	0.02394141545
667	0.02389492459
668	0.02385472949
669	0.02380520503
670	0.0237755836
671	0.02369362665
672	0.02364064625
673	0.02357923114
674	0.02355914948
675	0.02352048783
676	0.02349074833
677	0.0234512753
678	0.02341511893
679	0.02335607438
680	0.02331134857
681	0.02326491522
682	0.02322137772
683	0.02318063766
684	0.02313025792
685	0.0230759545
686	0.02303887927
687	0.02298147111
688	0.02295941852
689	0.02292636084
690	0.02288875731
691	0.0228173044
692	0.02279536838
693	0.02275861861
694	0.02272811163
695	0.02269991617
696	0.022688133
697	0.02263506935
698	0.02259238712
699	0.02251111893
700	0.02248487018
701	0.02242695491
702	0.02239667045
703	0.02238132083
704	0.02233736553
705	0.0222861517
706	0.0222569723
707	0.02221874358
708	0.02218123845
709	0.02214358799
710	0.02211241646
711	0.02208610868
712	0.02205522628
713	0.0220088111
714	0.0219849208
715	0.02194251409
716	0.02188765511
717	0.02184069497
718	0.02179038033
719	0.02175692906
720	0.02170976306
721	0.021678478
722	0.02165233218
723	0.02157780935
724	0.02155208134
725	0.02149750089
726	0.0214527781
727	0.02142590871
728	0.02138034276
729	0.02132327519
730	0.0212491429
731	0.02122671491
732	0.02118195428
733	0.02115407671
734	0.02110415565
735	0.02106167627
736	0.02103788285
737	0.02099527783
738	0.02096319047
739	0.02095051871
740	0.02091297574
741	0.02086896291
742	0.02082768546
743	0.02079569499
744	0.02073622658
745	0.02070105114
746	0.02067613753
747	0.02063867327
748	0.02060192956
749	0.02056946225
750	0.02053200252
751	0.02049190885
752	0.02044144585
753	0.02041617651
754	0.02036166418
755	0.02031754236
756	0.02028507505
757	0.02024359022
758	0.02021162245
759	0.02019338759
760	0.02016070381
761	0.02012889802
762	0.02008547102
763	0.02003073919
764	0.01997204432
765	0.0199321111
766	0.01988578827
767	0.01984746418
768	0.01979290947
769	0.01976803976
770	0.01973091307
771	0.01971220743
772	0.01968155513
773	0.01964873813
774	0.01962525504
775	0.01959793757
776	0.01956442424
777	0.01954483305
778	0.01950157559
779	0.01947107921
780	0.01944249622
781	0.01940988359
782	0.01937897697
783	0.01933640374
784	0.01929909994
785	0.01927206554
786	0.01925027181
787	0.01922047327
788	0.01916401878
789	0.01911852549
790	0.01907916902
791	0.01906807309
792	0.01902838662
793	0.01901236337
794	0.01896884858
795	0.01893660833
796	0.01890365358
797	0.01887793465
798	0.01884983002
799	0.01881631367
800	0.01878065987
801	0.01874874054
802	0.0187251197
803	0.01870008499
804	0.01867087531
805	0.01862644317
806	0.01859549114
807	0.01857627838
808	0.01855487521
809	0.01853017807
810	0.01849043407
811	0.01844130319
812	0.01841726454
813	0.01839240543
814	0.01836576008
815	0.0183389694
816	0.01830735131
817	0.01829328234
818	0.01826468876
819	0.01822547156
820	0.01817509333
821	0.01814382947
822	0.01812181019
823	0.01809612153
824	0.0180651589
825	0.01803243122
826	0.01801299595
827	0.01798740266
828	0.01796828679
829	0.01793142803
830	0.01789434221
831	0.01783665248
832	0.01781082456
833	0.0177821008
834	0.01776770637
835	0.01775032376
836	0.01772601112
837	0.0176973131
838	0.01767033471
839	0.01762931158
840	0.01761239521
841	0.01759093451
842	0.01756742114
843	0.01753974188
844	0.01752322818
845	0.01750260005
846	0.01747291353
847	0.01744790456
848	0.01743035695
849	0.01741931703
850	0.01738731293
851	0.01735166368
852	0.0173235091
853	0.01729608566
854	0.01726719387
855	0.0172444828
856	0.01721560766
857	0.01717870954
858	0.01714186744
859	0.01711738374
860	0.01710451822
861	0.01708587768
862	0.01704812731
863	0.01701889946
864	0.01699253113
865	0.01697553302
866	0.01695624609
867	0.01693218322
868	0.01691495805
869	0.01689006109
870	0.01687827943
871	0.01685566826
872	0.01683990539
873	0.01680560642
874	0.01679045965
875	0.01675487549
876	0.01672976358
877	0.01671213725
878	0.01667048288
879	0.01663535133
880	0.01660204236
881	0.01657295833
882	0.01654504594
883	0.0165207106
884	0.01648452698
885	0.0164655201
886	0.01644324348
887	0.01641598353
888	0.01639148319
889	0.01636849055
890	0.01632935812
891	0.01629341822
892	0.01627986545
893	0.01626249041
894	0.01625102512
895	0.01622145517
896	0.01620863657
897	0.01618748317
898	0.0161616719
899	0.01614992656
900	0.01612652975
901	0.01610018412
902	0.01608327533
903	0.01606689938
904	0.01604658763
905	0.01601130016
906	0.01599668775
907	0.01597634573
908	0.0159573222
909	0.01591808985
910	0.01589550745
911	0.01585403624
912	0.01583528367
913	0.01581007942
914	0.01577900024
915	0.01574731857
916	0.01572178129
917	0.01569787131
918	0.01566307734
919	0.01562406298
920	0.01559958988
921	0.01557057547
922	0.01554275846
923	0.01551245432
924	0.01550081041
925	0.01548445263
926	0.01546728952
927	0.01545500225
928	0.01543321761
929	0.01540881566
930	0.01537966501
931	0.01535568389
932	0.01534694793
933	0.01531448667
934	0.01529323033
935	0.0152591009
936	0.01524367711
937	0.01522732841
938	0.01520206209
939	0.01518692895
940	0.01515843225
941	0.01513475085
942	0.01512120716
943	0.0151044452
944	0.01506785741
945	0.01505857801
946	0.01504810424
947	0.01503762139
948	0.01501869626
949	0.01500435481
950	0.01498064162
951	0.01496395686
952	0.01493989702
953	0.01492500759
954	0.01490551782
955	0.01487007444
956	0.01484965521
957	0.01484054384
958	0.01481450702
959	0.01477632068
960	0.01475541857
961	0.0147384038
962	0.01471455589
963	0.01469348272
964	0.01468259266
965	0.01466269417
966	0.01464051898
967	0.01461683909
968	0.01459620491
969	0.01457745386
970	0.01455014849
971	0.01453177437
972	0.01451815499
973	0.01450119927
974	0.01448358657
975	0.01447123573
976	0.01445632813
977	0.01444400908
978	0.01443463734
979	0.01441119966
980	0.01439420306
981	0.01437641023
982	0.01435517205
983	0.01433179946
984	0.01431285919
985	0.01428770035
986	0.01425957604
987	0.01423950952
988	0.01422892979
989	0.01420572977
990	0.01418949914
