iter	Logloss
0	0.6843130324
1	0.6760534593
2	0.6689645744
3	0.6622174581
4	0.6545575931
5	0.6469897047
6	0.6394178602
7	0.6327349816
8	0.6264007945
9	0.619425079
10	0.6141317391
11	0.6073769934
12	0.6012143265
13	0.5950613611
14	0.5891538549
15	0.5830420977
16	0.5767268428
17	0.570462168
18	0.5653925295
19	0.5599923781
20	0.5549209501
21	0.5494249603
22	0.545176094
23	0.5401959831
24	0.5360124376
25	0.5309949333
26	0.5262625423
27	0.5222973294
28	0.5184069033
29	0.5145737448
30	0.5105022854
31	0.506206795
32	0.5025567891
33	0.4979996858
34	0.4937541632
35	0.4899098432
36	0.4858185568
37	0.4822465873
38	0.4789937337
39	0.4753912467
40	0.472079901
41	0.4684562683
42	0.4655184334
43	0.4621846705
44	0.4585287777
45	0.4551867261
46	0.4523098793
47	0.449544365
48	0.4467418341
49	0.4437135296
50	0.4407837479
51	0.4382922326
52	0.4356796359
53	0.4331390004
54	0.4304116332
55	0.4278958168
56	0.4261571625
57	0.4242840991
58	0.4217965397
59	0.4192931093
60	0.4168155811
61	0.4143108792
62	0.4121316509
63	0.4100031441
64	0.4077369313
65	0.405536369
66	0.4033512068
67	0.401151869
68	0.399014885
69	0.3968151234
70	0.3947649826
71	0.3928730576
72	0.3907841341
73	0.3892478236
74	0.387069608
75	0.3854219884
76	0.3836998881
77	0.3818588728
78	0.3800704862
79	0.3785332103
80	0.3769541846
81	0.3750884209
82	0.3736058694
83	0.3722623189
84	0.3711766372
85	0.3697998612
86	0.3681364177
87	0.3665656573
88	0.3649267267
89	0.3631799486
90	0.3617443744
91	0.360282427
92	0.3589137984
93	0.3575765822
94	0.3562396014
95	0.3549219061
96	0.3539067021
97	0.3527061086
98	0.3513715532
99	0.3504839532
100	0.3491193512
101	0.3474665512
102	0.3464963466
103	0.3456801897
104	0.344247088
105	0.3431795379
106	0.3422917025
107	0.3412911921
108	0.3403213642
109	0.3396109593
110	0.3384896738
111	0.3375171614
112	0.3364865809
113	0.3356790425
114	0.334812753
115	0.3338933168
116	0.3331098674
117	0.3319155375
118	0.3310645304
119	0.3302873682
