iter	Passed	Remaining
433	1495	1949
434	1498	1945
435	1500	1941
436	1504	1937
437	1507	1933
438	1510	1930
439	1513	1926
440	1516	1922
441	1519	1918
442	1522	1914
443	1525	1910
444	1529	1907
445	1532	1903
446	1536	1900
447	1539	1896
448	1542	1892
449	1545	1889
450	1549	1885
451	1552	1882
452	1556	1879
453	1560	1876
454	1563	1872
455	1566	1869
456	1569	1865
457	1573	1861
458	1576	1857
459	1579	1853
460	1583	1850
461	1586	1847
462	1589	1843
463	1592	1839
464	1595	1835
465	1599	1832
466	1602	1828
467	1605	1824
468	1608	1821
469	1611	1817
470	1614	1813
471	1618	1810
472	1620	1805
473	1624	1802
474	1627	1798
475	1630	1794
476	1633	1791
477	1637	1787
478	1640	1784
479	1643	1780
480	1646	1776
481	1649	1772
482	1652	1769
483	1656	1765
484	1659	1762
485	1663	1759
486	1666	1755
487	1669	1751
488	1672	1748
489	1676	1744
490	1679	1741
491	1682	1737
492	1685	1733
493	1688	1729
494	1692	1726
495	1695	1723
496	1698	1719
497	1701	1715
498	1704	1711
499	1707	1707
500	1711	1704
501	1713	1700
502	1716	1696
503	1720	1693
504	1723	1689
505	1727	1686
506	1730	1682
507	1733	1679
508	1736	1675
509	1739	1671
510	1742	1667
511	1745	1663
512	1748	1660
513	1752	1656
514	1755	1653
515	1759	1650
516	1762	1646
517	1765	1642
518	1768	1639
519	1771	1635
520	1775	1632
521	1778	1628
522	1781	1624
523	1784	1621
524	1787	1617
525	1790	1613
526	1793	1610
527	1796	1606
528	1800	1602
529	1802	1598
530	1806	1595
531	1809	1591
532	1811	1587
533	1815	1584
534	1818	1580
535	1821	1576
536	1824	1573
537	1827	1569
538	1830	1565
539	1833	1561
540	1836	1558
541	1839	1554
542	1842	1550
543	1845	1547
544	1849	1543
545	1852	1540
546	1856	1537
547	1859	1533
548	1862	1529
549	1865	1526
550	1868	1522
551	1872	1519
552	1875	1515
553	1878	1512
554	1881	1508
555	1884	1505
556	1888	1501
557	1891	1498
558	1894	1494
559	1898	1491
560	1901	1488
561	1904	1484
562	1907	1480
563	1910	1477
564	1913	1473
565	1917	1470
566	1920	1466
567	1923	1463
568	1926	1459
569	1929	1455
570	1934	1453
571	1937	1449
572	1941	1446
573	1943	1442
574	1947	1439
575	1950	1435
576	1953	1432
577	1956	1428
578	1960	1425
579	1963	1421
580	1967	1418
581	1970	1415
582	1973	1411
583	1977	1408
584	1980	1404
585	1983	1401
586	1987	1398
587	1990	1394
588	1993	1390
589	1996	1387
590	1999	1383
591	2002	1379
592	2005	1376
593	2008	1372
594	2011	1369
595	2014	1365
596	2017	1362
597	2020	1358
598	2024	1355
599	2027	1351
600	2030	1348
601	2033	1344
602	2036	1340
603	2039	1337
604	2042	1333
605	2045	1329
606	2048	1326
607	2051	1322
608	2054	1319
609	2058	1315
610	2062	1312
611	2065	1309
612	2069	1306
613	2072	1302
614	2076	1299
615	2079	1296
616	2082	1292
617	2086	1289
618	2089	1286
619	2092	1282
620	2095	1278
621	2098	1275
622	2101	1271
623	2104	1268
624	2107	1264
625	2111	1261
626	2114	1257
627	2117	1254
628	2120	1250
629	2123	1246
630	2126	1243
631	2129	1240
632	2132	1236
633	2135	1232
634	2138	1229
635	2141	1225
636	2144	1222
637	2148	1218
638	2151	1215
639	2154	1211
640	2158	1208
641	2161	1205
642	2164	1201
643	2167	1198
644	2170	1194
645	2173	1191
646	2176	1187
647	2179	1184
648	2183	1180
649	2186	1177
650	2189	1173
651	2192	1170
652	2195	1166
653	2198	1163
654	2201	1159
655	2204	1156
656	2208	1152
657	2211	1149
658	2214	1145
659	2217	1142
660	2220	1138
661	2223	1135
662	2226	1131
663	2229	1128
664	2232	1124
665	2235	1121
666	2239	1117
667	2242	1114
668	2245	1110
669	2248	1107
670	2251	1104
671	2255	1100
672	2258	1097
673	2262	1094
674	2265	1090
675	2268	1087
676	2272	1083
677	2275	1080
678	2278	1077
679	2281	1073
680	2285	1070
681	2288	1067
682	2292	1063
683	2295	1060
684	2299	1057
685	2303	1054
686	2306	1050
687	2309	1047
688	231688	233689	231689	233690	231690	234691	232691	234692	232692	234693	233693	235694	233694	235695	233695	235696	234696	236697	234697	236698	234698	236699	235699	237700	235700	237701	235701	237702	235702	23703	2362703	2704	2365	704	705	2369	705	706	2372	706	707	2376	707	708	2379	708	709	2383	709	710	2386	710	711	2389	711	712	2393	712	713	2396	713	714	2402	957
715	2405	954
716	2408	950
717	2412	947
718	2415	944
719	2418	940
720	2422	937
721	2425	933
722	2428	930
723	2431	926
724	2434	923
725	2438	920
726	2441	916
727	2444	913
728	2447	909
729	2450	906
730	2453	902
731	2456	899
732	2460	896
733	2463	892
734	2467	889
735	2470	886
736	2474	882
737	2477	879
738	2480	876
739	2483	872
740	2487	869
741	2490	866
742	2494	862
743	2497	859
744	2500	855
745	2503	852
746	2506	848
747	2509	845
748	2513	842
749	2515	838
750	2518	835
751	2521	831
752	2524	828
753	2527	824
754	2530	821
755	2534	817
756	2537	814
757	2540	811
758	2543	807
759	2546	804
760	2550	801
761	2553	797
762	2556	794
763	2560	790
764	2564	787
765	2567	784
766	2570	780
767	2573	777
768	2576	773
769	2579	770
770	2583	767
771	2586	763
772	2589	760
773	2592	757
774	2596	753
775	2599	750
776	2602	746
777	2605	743
778	2608	740
779	2611	736
780	2614	733
781	2617	729
782	2621	726
783	2624	723
784	2627	719
785	2630	716
786	2633	712
787	2636	709
788	2639	705
789	2642	702
790	2645	699
791	2648	695
792	2651	692
793	2654	688
794	2658	685
795	2661	682
796	2664	678
797	2668	675
798	2671	672
799	2674	668
800	2677	665
801	2680	661
802	2684	658
803	2687	655
804	2690	651
805	2693	648
806	2696	644
807	2700	641
808	2705	638
809	2709	635
810	2712	632
811	2716	628
812	2719	625
813	2722	622
814	2726	618
815	2729	615
816	2732	612
817	2735	608
818	2739	605
819	2742	601
820	2745	598
821	2748	595
822	2751	591
823	2754	588
824	2757	585
825	2761	581
826	2764	578
827	2768	575
828	2771	571
829	2775	568
830	2777	564
831	2781	561
832	2784	558
833	2788	554
834	2791	551
835	2794	548
836	2798	544
837	2801	541
838	2804	538
839	2807	534
840	2811	531
841	2814	528
842	2817	524
843	2821	521
844	2824	518
845	2827	514
846	2830	511
847	2833	507
848	2837	504
849	2840	501
850	2843	497
851	2846	494
852	2849	491
853	2853	487
854	2856	484
855	2859	481
856	2862	477
857	2865	474
858	2869	471
859	2872	467
860	2876	464
861	2879	461
862	2882	457
863	2886	454
864	2889	450
865	2892	447
866	2895	444
867	2898	440
868	2901	437
869	2904	434
870	2907	430
871	2910	427
872	2913	423
873	2917	420
874	2920	417
875	2923	413
876	2926	410
877	2929	407
878	2933	403
879	2936	400
880	2938	396
881	2942	393
882	2945	390
883	2949	387
884	2952	383
885	2956	380
886	2959	377
887	2962	373
888	2966	370
889	2969	366
890	2972	363
891	2975	360
892	2979	356
893	2982	353
894	2985	350
895	2989	346
896	2992	343
897	2995	340
898	2998	336
899	3001	333
900	3004	330
901	3007	326
902	3010	323
903	3014	320
904	3016	316
905	3020	313
906	3023	310
907	3027	306
908	3030	303
909	3033	299
910	3036	296
911	3039	293
912	3042	289
913	3046	286
914	3049	283
915	3052	279
916	3055	276
917	3058	273
918	3062	269
919	3065	266
920	3068	263
921	3071	259
922	3075	256
923	3078	253
924	3081	249
925	3084	246
926	3088	243
927	3091	239
928	3095	236
929	3098	233
930	3102	229
931	3104	226
932	3108	223
933	3111	219
934	3114	216
935	3117	213
936	3120	209
937	3124	206
938	3127	203
939	3130	199
940	3133	196
941	3136	193
942	3139	189
943	3142	186
944	3146	183
945	3149	179
946	3152	176
947	3155	173
948	3158	169
949	3162	166
950	3165	163
951	3168	159
952	3171	156
953	3175	153
954	3178	149
955	3181	146
956	3185	143
957	3189	139
958	3192	136
959	3195	133
960	3198	129
961	3201	126
962	3205	123
963	3208	119
964	3211	116
965	3214	113
966	3217	109
967	3220	106
968	3223	103
969	3226	99
970	3230	96
971	3233	93
972	3236	89
973	3239	86
974	3243	83
975	3246	79
976	3249	76
977	3253	73
978	3256	69
979	3259	66
980	3263	63
981	3266	59
982	3269	56
983	3272	53
984	3276	49
985	3279	46
986	3283	43
987	3286	39
988	3289	36
989	3293	33
990	3296	29
991	3299	26
992	3302	23
993	3305	19
994	3309	16
995	3312	13
996	3316	9
997	3319	6
998	3323	3
999	3326	0
999	3346	0
