iter	Passed	Remaining
405	8407	12300
406	8422	12271
407	8443	12251
408	8459	12223
409	8478	12201
410	8492	12169
411	8515	12153
412	8531	12125
413	8544	12094
414	8561	12068
415	8579	12044
416	8601	12025
417	8617	11999
418	8637	11976
419	8652	11948
420	8671	11926
421	8688	11899
422	8704	11873
423	8738	11871
424	8760	11851
425	8781	11831
426	8801	11810
427	8823	11792
428	8844	11772
429	8861	11746
430	8877	11719
431	8896	11697
432	8910	11668
433	8929	11645
434	8945	11619
435	8961	11592
436	8978	11566
437	8997	11545
438	9022	11529
439	9042	11508
440	9062	11486
441	9080	11464
442	9097	11438
443	9114	11413
444	9132	11390
445	9145	11360
446	9165	11338
447	9183	11315
448	9206	11298
449	9226	11276
450	9241	11249
451	9258	11224
452	9282	11208
453	9295	11179
454	9314	11156
455	9331	11132
456	9351	11110
457	9369	11088
458	9389	11066
459	9408	11044
460	9428	11024
461	9447	11001
462	9461	10973
463	9481	10952
464	9498	10927
465	9519	10908
466	9538	10887
467	9556	10863
468	9575	10840
469	9594	10819
470	9613	10797
471	9632	10775
472	9647	10748
473	9661	10721
474	9676	10694
475	9694	10672
476	9717	10654
477	9737	10634
478	9750	10605
479	9773	10587
480	9792	10566
481	9814	10547
482	9834	10526
483	9854	10506
484	9874	10485
485	9895	10465
486	9914	10443
487	9933	10421
488	9950	10397
489	9968	10375
490	9994	10361
491	10010	10336
492	10028	10312
493	10050	10294
494	10064	10267
495	10080	10242
496	10104	10226
497	10119	10200
498	10131	10172
499	10150	10150
500	10172	10131
501	10192	10111
502	10209	10087
503	10231	10069
504	10255	10052
505	10269	10025
506	10288	10004
507	10307	9982
508	10321	9956
509	10337	9931
510	10351	9906
511	10366	9880
512	10384	9858
513	10410	9843
514	10433	9825
515	10451	9803
516	10471	9783
517	10496	9767
518	10530	9759
519	10556	9744
520	10572	9720
521	10593	9700
522	10610	9677
523	10629	9655
524	10648	9634
525	10668	9613
526	10683	9588
527	10700	9565
528	10717	9542
529	10737	9521
530	10752	9497
531	10767	9472
532	10782	9447
533	10796	9421
534	10812	9397
535	10838	9382
536	10861	9364
537	10878	9341
538	10896	9319
539	10919	9302
540	10935	9278
541	10957	9259
542	10975	9236
543	10997	9218
544	11019	9199
545	11038	9178
546	11056	9156
547	11074	9134
548	11089	9110
549	11110	9090
550	11125	9065
551	11145	9045
552	11161	9022
553	11178	8999
554	11192	8973
555	11208	8950
556	11229	8930
557	11253	8914
558	11286	8903
559	11312	8888
560	11335	8870
561	11359	8853
562	11375	8829
563	11390	8805
564	11407	8782
565	11421	8757
566	11441	8737
567	11458	8714
568	11474	8691
569	11492	8669
570	11515	8651
571	11533	8630
572	11549	8606
573	11566	8584
574	11581	8559
575	11603	8541
576	11617	8516
577	11631	8491
578	11646	8468
579	11663	8445
580	11681	8424
581	11701	8404
582	11717	8381
583	11734	8358
584	11755	8339
585	11778	8321
586	11800	8302
587	11816	8279
588	11839	8261
589	11853	8237
590	11882	8223
591	11910	8208
592	11930	8188
593	11944	8163
594	11957	8139
595	11973	8116
596	11995	8097
597	12009	8073
598	12024	8049
599	12040	8027
600	12061	8007
601	12079	7986
602	12095	7963
603	12109	7939
604	12129	7919
605	12150	7899
606	12163	7875
607	12178	7852
608	12203	7835
609	12222	7814
610	12242	7794
611	12263	7775
612	12278	7751
613	12292	7728
614	12306	7704
615	12325	7683
616	12340	7660
617	12355	7637
618	12374	7616
619	12389	7593
620	12407	7572
621	12428	7552
622	12449	7533
623	12466	7511
624	12483	7489
625	12498	7466
626	12517	7446
627	12532	7423
628	12549	7402
629	12562	7377
630	12582	7358
631	12601	7337
632	12622	7318
633	12637	7295
634	12667	7281
635	12684	7259
636	12701	7237
637	12721	7218
638	12742	7199
639	12764	7180
640	12785	7160
641	12806	7141
642	12830	7123
643	12855	7106
644	12873	7085
645	12894	7066
646	12911	7044
647	12927	7022
648	12947	7002
649	12968	6983
650	12986	6962
651	13008	6943
652	13024	6921
653	13041	6899
654	13057	6877
655	13071	6854
656	13086	6832
657	13105	6811
658	13119	6788
659	13141	6769
660	13160	6749
661	13178	6728
662	13195	6707
663	13213	6686
664	13226	6663
665	13241	6640
666	13257	6618
667	13274	6597
668	13290	6575
669	13308	6555
670	13324	6533
671	13352	6517
672	13368	6495
673	13386	6474
674	13408	6455
675	13430	6436
676	13447	6415
677	13466	6395
678	13488	6376
679	13511	6358
680	13533	6339
681	13566	6325
682	13583	6304
683	13602	6284
684	13624	6265
685	13648	6247
686	13668	6227
687	13691	6208
688	13757	6210
689	13789	6195
690	13806	6173
691	13826	6154
692	13844	6132
693	13870	6115
694	13891	6096
695	13907	6074
696	13920	6051
697	13933	6028
698	13955	6009
699	13970	5987
700	13985	5965
701	14004	5945
702	14020	5923
703	14034	5900
704	14048	5878
705	14063	5856
706	14091	5840
707	14106	5817
708	14125	5797
709	14143	5776
710	14156	5754
711	14172	5732
712	14197	5714
713	14209	5691
714	14229	5672
715	14243	5649
716	14259	5628
717	14288	5611
718	14310	5592
719	14324	5570
720	14344	5550
721	14360	5529
722	14375	5507
723	14389	5485
724	14411	5466
725	14435	5448
726	14452	5427
727	14478	5409
728	14498	5389
729	14510	5366
730	14527	5346
731	14544	5324
732	14565	5305
733	14579	5283
734	14599	5263
735	14612	5241
736	14628	5220
737	14641	5197
738	14654	5175
739	14670	5154
740	14688	5133
741	14705	5113
742	14732	5095
743	14747	5074
744	14763	5053
745	14781	5032
746	14794	5010
747	14812	4990
748	14825	4968
749	14842	4947
750	14862	4927
751	14882	4907
752	14898	4887
753	14914	4865
754	14927	4844
755	14941	4822
756	14958	4801
757	14972	4780
758	14985	4758
759	15013	4741
760	15024	4718
761	15036	4696
762	15047	4673
763	15065	4653
764	15080	4632
765	15093	4610
766	15104	4588
767	15120	4567
768	15132	4545
769	15147	4524
770	15161	4503
771	15173	4481
772	15191	4461
773	15214	4442
774	15235	4423
775	15248	4401
776	15267	4381
777	15283	4361
778	15307	4342
779	15327	4323
780	15344	4302
781	15361	4282
782	15381	4262
783	15395	4241
784	15420	4223
785	15451	4206
786	15483	4190
787	15510	4172
788	15526	4152
789	15540	4131
790	15554	4109
791	15565	4088
792	15577	4066
793	15592	4045
794	15606	4024
795	15617	4002
796	15634	3982
797	15656	3963
798	15675	3943
799	15691	3922
800	15703	3901
801	15725	3882
802	15741	3861
803	15756	3841
804	15774	3821
805	15789	3800
806	15808	3780
807	15822	3759
808	15836	3738
809	15851	3718
810	15864	3697
811	15882	3677
812	15895	3656
813	15914	3636
814	15935	3617
815	15950	3596
816	15970	3577
817	15982	3556
818	15996	3535
819	16014	3515
820	16033	3495
821	16051	3475
822	16068	3455
823	16090	3436
824	16101	3415
825	16120	3395
826	16139	3376
827	16153	3355
828	16176	3336
829	16206	3319
830	16227	3300
