iter	RMSE
192	27467.94942
193	27429.206
194	27397.15199
195	27366.3025
196	27357.89861
197	27314.218
198	27157.21483
199	27097.21769
200	26986.50597
201	26967.02683
202	26911.4717
203	26885.87594
204	26873.41827
205	26873.13763
206	26824.62626
207	26660.1425
208	26618.50004
209	26592.2448
210	26446.77129
211	26414.82371
212	26203.23135
213	26008.79949
214	25993.95965
215	25951.20213
216	25943.27211
217	25772.65461
218	25754.02654
219	25660.12394
220	25541.34741
221	25381.30946
222	25352.17082
223	25348.88803
224	25292.58983
225	25192.14096
226	25105.45761
227	24956.98762
228	24933.93107
229	24904.07475
230	24863.12904
231	24751.14311
232	24709.36302
233	24683.41183
234	24523.30647
235	24397.21637
236	24282.32577
237	24243.89147
238	24242.70289
239	24125.04463
240	24051.86699
241	23902.18503
242	23868.48231
243	23847.49453
244	23834.93489
245	23810.02401
246	23716.11886
247	23678.2768
248	23660.16515
249	23584.26279
250	23552.38205
251	23436.93854
252	23347.93917
253	23328.06166
254	23198.98642
255	23096.34029
256	23040.83752
257	23010.2394
258	22998.41665
259	22867.06456
260	22802.88057
261	22775.55642
262	22692.62791
263	22615.98518
264	22495.72291
265	22445.65615
266	22390.90057
267	22288.31922
268	22167.70706
269	22141.34213
270	22064.74338
271	21950.97788
272	21934.89261
273	21914.85841
274	21874.61371
275	21840.73166
276	21824.97742
277	21804.20891
278	21700.79805
279	21684.1662
280	21659.94671
281	21650.39211
282	21631.98197
283	21600.62825
284	21492.17271
285	21457.86252
286	21424.49399
287	21403.22752
288	21401.59563
289	21336.23325
290	21314.22718
291	21313.05825
292	21295.767
293	21286.46799
294	21268.43248
295	21206.5131
296	21183.24407
297	21168.42195
298	21167.33835
299	21009.6539
300	21009.65143
301	20942.6424
302	20933.44866
303	20863.80243
304	20788.99722
305	20784.52578
306	20773.56582
307	20760.01964
308	20747.86852
309	20728.67878
310	20683.19767
311	20599.94463
312	20587.67946
313	20546.60534
314	20536.60748
315	20521.75806
316	20507.55606
317	20487.37772
318	20474.53959
319	20438.62042
320	20436.03917
321	20410.9286
322	20386.30695
323	20354.29357
324	20341.33885
325	20234.83094
326	20220.46985
327	20209.87958
328	20199.93457
329	20127.31754
330	20108.37948
331	20097.59751
332	20081.11874
333	20043.70703
334	20030.51314
335	20025.9587
336	20025.79118
337	20015.70727
338	19945.96163
339	19812.67452
340	19807.59209
341	19770.02649
342	19767.72038
343	19747.16665
344	19734.2107
345	19717.79886
346	19701.08492
347	19614.00569
348	19613.64504
349	19598.81021
350	19590.53237
351	19572.67472
352	19563.09772
353	19502.66751
354	19492.8213
355	19489.85859
356	19390.454
357	19386.38842
358	19269.53453
359	19223.89607
360	19194.77228
361	19169.737
362	19168.69711
363	19100.35655
364	19099.33943
365	19045.82023
366	18990.17145
367	18942.60312
368	18941.64481
369	18899.86519
370	18873.86554
371	18873.49075
372	18841.71235
373	18841.65231
374	18779.28356
375	18755.52957
376	18753.15418
377	18752.19797
378	18752.1952
379	18740.01962
380	18717.06129
381	18716.68961
382	18677.41801
383	18671.47571
384	18581.18673
385	18537.26134
386	18521.81855
387	18519.64067
388	18470.03835
389	18468.62956
390	18466.19474
391	18429.16521
392	18411.07666
393	18408.74582
394	18352.20612
395	18284.58866
396	18274.27685
397	18242.77686
398	18162.14809
399	18089.61722
400	18016.84417
401	18002.11788
402	17974.38206
403	17936.32635
404	17882.08088
405	17830.76777
406	17826.12108
407	17779.4777
408	17777.74649
409	17763.46983
410	17762.56869
411	17748.50987
412	17746.54703
413	17746.50307
414	17743.61813
415	17741.72291
416	17740.16686
417	17738.33066
418	17710.04296
419	17708.27632
420	17673.23614
421	17671.33264
422	17669.61438
423	17649.50461
424	17632.56978
425	17559.35546
426	17546.52929
427	17533.60104
428	17469.39389
429	17467.80093
430	17466.2577
431	17451.1972
432	17449.95281
433	17404.94315
434	17403.46383
435	17402.03072
436	17395.61688
437	17356.18807
438	17316.60189
439	17218.69657
440	17143.30829
441	17119.82654
442	17117.96329
443	17114.98683
444	17106.37514
445	17106.30293
446	17097.86938
447	17085.78738
448	17063.61116
449	17054.71048
450	17053.57517
451	17052.53434
452	17051.62461
453	17051.53691
454	17040.49956
455	17035.8747
456	17026.29358
457	16971.5452
458	16950.73616
459	16929.38462
460	16919.93764
461	16903.3127
462	16902.42802
463	16891.34481
464	16889.74661
465	16882.48502
466	16833.92232
467	16831.38467
468	16814.15173
469	16768.14734
470	16719.7635
471	16706.04369
472	16705.00456
473	16704.89247
474	16704.13272
475	16694.66187
476	16659.39578
477	16642.83483
478	16642.61918
479	16633.90052
480	16618.25001
481	16594.12715
482	16547.90633
483	16525.77941
484	16513.57098
485	16508.64885
486	16495.90987
487	16483.79449
488	16483.58387
489	16435.08623
490	16377.99652
491	16377.24861
492	16373.76903
493	16361.35181
494	16360.65798
495	16360.09288
496	16312.70042
497	16311.40903
498	16311.26873
499	16304.2671
500	16299.06397
501	16289.66333
502	16288.16655
503	16276.9343
504	16269.70691
505	16269.59581
506	16260.0278
507	16251.68317
508	16250.66299
509	16249.49231
510	16248.38957
511	16247.83897
512	16247.73893
513	16237.39488
514	16235.41674
515	16235.02429
516	16234.65505
517	16234.18329
518	16176.5606
519	16117.94617
520	16117.63234
521	16047.51133
522	16045.45953
523	16044.51134
524	16043.47799
525	16026.06557
526	16025.68179
527	16024.79572
528	16021.18115
529	16012.0762
530	16011.79928
531	16010.9896
532	16010.62982
533	16010.29114
534	16009.34899
535	16001.31164
536	15993.49221
537	15992.7377
538	15992.02463
539	15982.11714
540	15981.79414
541	15978.22681
542	15977.98023
543	15974.84835
544	15974.39577
545	15973.74781
546	15973.13564
547	15972.55765
548	15972.3411
549	15904.87451
550	15904.33245
551	15899.63063
552	15899.11948
553	15898.82096
554	15898.33678
555	15897.47878
556	15827.5408
557	15827.25819
558	15825.99785
559	15825.5213
560	15825.30931
561	15813.95551
562	15813.69732
563	15813.45475
564	15813.27631
565	15811.97786
566	15786.4871
567	15779.06556
568	15777.39012
569	15777.23435
570	15775.37161
571	15775.22159
572	15774.76329
573	15774.62151
574	15774.40059
575	15737.28885
576	15737.09633
577	15736.91455
578	15736.89555
579	15736.7716
580	15734.99828
581	15714.80664
582	15714.68252
583	15714.56668
584	15663.08219
585	15615.28721
586	15593.26954
587	15593.10109
588	15587.4637
589	15587.36109
590	15542.22323
591	15542.07179
592	15540.82598
593	15539.96666
594	15539.16251
595	15538.40937
596	15495.73214
597	15495.61801
598	15494.65967
599	15492.3668
600	15446.87727
601	15445.94874
602	15442.71317
603	15442.60202
604	15395.27125
605	15381.28219
606	15381.16468
607	15380.47651
608	15380.36069
609	15380.03519
610	15376.38237
611	15338.97397
612	15338.86292
613	15336.18641
614	15335.55897
615	15330.8023
616	15330.09576
617	15328.10063
618	15320.4842
619	15310.5167
620	15306.29426
621	15267.66746
622	15215.78179
623	15214.80069
624	15214.33576
625	15213.67937
626	15209.30608
627	15208.67597
628	15207.27629
629	15206.97018
630	15187.79832
631	15171.15488
632	15133.96865
633	15131.42605
634	15098.48745
635	15097.68649
636	15095.26096
637	15049.13619
638	15032.32107
639	15014.7077
640	15010.6784
641	15006.53709
642	15003.55257
643	14953.20887
644	14952.01487
645	14949.29781
646	14948.85419
647	14946.74293
648	14946.34274
649	14943.76474
650	14941.78417
651	14933.48484
652	14933.14177
653	14931.28171
654	14929.52419
655	14929.2629
656	14927.86665
657	14926.20194
658	14925.95627
659	14907.16183
660	14906.78849
661	14905.18425
662	14904.96266
663	14903.44459
664	14903.44285
665	14902.05988
666	14900.29804
667	14900.07202
668	14898.71492
669	14898.47665
670	14898.27591
671	14871.2418
672	14871.06167
673	14870.78361
674	14869.88819
675	14867.89953
676	14867.53395
677	14866.23161
678	14864.91603
679	14864.5705
680	14861.3396
681	14861.18473
682	14859.95096
683	14859.78821
684	14818.40773
685	14787.1348
686	14766.44576
687	14765.25736
688	14758.6496
689	14757.83284
690	14757.66191
691	14753.97707
692	14752.86964
693	14719.00662
694	14705.2607
695	14704.24023
696	14704.12085
697	14704.01031
698	14702.91901
699	14701.94968
700	14701.03424
701	14698.01909
702	14697.84525
703	14697.61876
704	14697.30026
705	14696.61812
706	14692.50467
707	14691.63202
708	14690.98015
709	14690.35613
710	14690.25566
711	14689.43289
712	14688.65521
713	14688.55695
714	14687.18739
715	14687.09487
716	14687.00899
717	14686.30424
718	14673.51534
719	14673.43426
720	14656.17523
721	14655.53864
722	14655.52444
723	14655.26403
724	14613.96731
725	14613.84764
726	14613.25369
727	14611.74804
728	14604.58382
729	14604.51393
730	14603.96635
731	14603.58126
732	14601.86445
733	14601.80434
734	14576.18926
735	14576.13752
736	14575.59245
737	14575.58085
738	14575.3373
739	14574.82253
740	14574.33584
741	14574.23725
742	14573.73761
743	14573.68943
744	14573.22992
745	14572.54688
746	14572.49958
747	14572.01818
748	14571.97356
749	14571.74869
750	14571.11822
751	14570.68585
752	14570.22313
753	14569.83535
754	14569.7943
755	14569.75592
756	14569.38866
757	14569.35252
758	14569.31816
759	14568.53407
760	14568.50105
761	14568.47114
762	14568.44303
763	14556.45908
764	14556.12678
765	14556.05397
766	14556.02672
767	14555.71317
768	14555.68815
769	14555.37101
770	14555.09094
771	14555.06503
772	14520.06015
773	14483.10512
774	14482.68629
775	14482.68359
776	14482.06137
777	14481.07726
778	14480.32207
779	14479.92246
780	14479.89283
781	14479.86499
782	14479.64138
783	14479.61534
784	14479.08145
785	14479.05675
786	14478.65576
787	14478.30595
788	14478.3046
789	14478.30235
790	14478.24712
791	14478.22242
792	14478.22063
793	14477.83847
794	14477.64851
795	14477.62651
796	14477.25871
797	14476.90302
798	14444.28987
799	14443.97029
800	14443.96894
801	14443.66555
802	14443.32254
803	14443.32164
804	14433.72587
805	14433.70335
806	14433.03802
807	14433.01685
808	14432.99748
809	14432.99658
810	14432.97766
811	14432.97766
812	14432.96054
813	14423.84244
814	14385.12535
815	14384.7353
816	14370.21586
817	14370.20319
818	14370.17197
819	14333.26867
820	14310.35348
821	14296.81629
822	14295.95132
823	14258.86779
824	14258.86231
825	14219.24794
826	14179.69026
827	14178.79613
828	14155.19362
829	14116.08697
830	14093.93734
831	14084.97044
832	14074.93034
833	14038.71813
834	14037.67885
835	14001.38468
836	13993.16601
837	13974.44672
838	13965.95289
839	13965.90494
840	13956.60562
841	13948.5745
842	13929.86343
843	13927.55103
844	13926.87973
845	13905.43819
846	13894.01388
847	13864.45439
848	13864.40374
849	13844.15838
850	13843.35013
851	13827.43943
852	13799.93956
853	13775.07344
854	13759.38621
855	13730.21402
856	13730.15436
857	13730.09611
858	13725.96396
859	13725.94596
860	13725.89291
861	13725.84175
862	13725.82612
863	13710.3628
864	13699.40607
865	13687.36758
866	13685.01942
867	13684.97286
868	13670.61288
869	13644.99078
870	13644.93837
871	13644.88834
872	13627.22361
873	13615.13227
874	13592.06635
875	13585.54936
876	13582.80354
877	13579.94898
878	13561.35399
879	13546.11424
880	13543.56638
881	13535.49097
882	13535.44294
883	13500.40834
884	13500.36451
885	13476.1069
886	13465.00785
887	13464.59355
888	13463.80887
889	13463.55342
890	13443.0081
891	13425.74748
892	13420.98634
893	13420.94226
894	13404.69219
895	13390.92889
896	13387.76777
897	13373.15282
898	13371.76328
899	13362.11665
900	13351.19456
901	13337.46526
902	13337.40726
903	13337.35315
904	13336.47664
905	13336.42399
906	13335.95013
907	13335.92575
908	13335.18762
909	13328.64551
910	13309.61395
911	13297.03775
912	13296.98885
913	13294.06655
914	13281.74192
915	13273.48421
916	13260.68645
917	13253.37322
918	13242.25245
919	13220.2361
920	13209.18144
921	13204.37519
922	13204.32251
923	13195.61233
924	13185.42905
925	13184.94631
926	13182.3528
927	13174.72665
928	13174.02193
929	13173.45043
930	13158.26837
931	13156.20185
932	13155.84554
933	13134.93573
934	13134.47539
935	13133.50812
936	13133.17149
937	13132.73089
938	13132.30908
939	13129.26694
940	13100.87327
941	13096.60266
942	13091.48393
943	13082.97245
944	13067.95096
945	13049.37821
946	13047.24263
947	13017.47144
948	13017.39802
949	13008.39275
950	12996.04034
951	12987.53389
952	12980.63026
953	12980.59369
954	12967.70843
955	12967.37703
956	12966.89218
957	12958.59488
958	12958.28682
959	12955.58722
960	12952.78366
961	12945.69727
962	12945.6144
963	12945.31256
964	12944.85351
965	12942.28976
966	12941.6598
967	12941.23327
968	12934.11039
969	12931.4349
970	12931.35848
971	12925.00333
972	12918.84686
973	12917.09438
974	12885.34242
975	12877.43738
976	12869.97811
977	12866.88102
978	12855.66967
979	12853.50493
980	12847.5227
981	12834.21408
982	12834.14265
983	12821.67663
984	12818.60033
985	12811.33619
986	12786.22548
987	12779.91771
988	12779.83885
989	12779.76305
990	12771.95709
991	12760.94053
992	12760.86971
993	12749.22144
994	12749.1531
995	12719.5087
996	12719.19638
997	12712.85024
998	12712.81955
999	12712.75409
